id|title|author|genre|releasedDate|filename
27|Dracula by Bram Stoker|17 by Bram Stoker|Fiction|1995-10-01|345_Dracula_by_Bram_Stoker
28|The Great Gatsby by F. Scott Fitzgerald|8 by F. Scott Fitzgerald|Fiction|2021-01-17|64317_The_Great_Gatsby_by_F._Scott_Fitzgerald
29|Crime and Punishment by Fyodor Dostoyevsky|57 by Fyodor Dostoyevsky|Fiction|2006-03-28|2554_Crime_and_Punishment_by_Fyodor_Dostoyevsky
30|The Picture of Dorian Gray by Oscar Wilde|69 by Oscar Wilde|Fiction|1994-10-01|174_The_Picture_of_Dorian_Gray_by_Oscar_Wilde
31|Metamorphosis by Franz Kafka|16 by Franz Kafka|Fiction|2005-08-17|5200_Metamorphosis_by_Franz_Kafka
32|Jane Eyre_ An Autobiography by Charlotte Brontë|14 by Charlotte Brontë|Fiction|1998-03-01|1260_Jane_Eyre__An_Autobiography_by_Charlotte_Brontë
33|A Tale of Two Cities by Charles Dickens|211 by Charles Dickens|Fiction|1994-01-01|98_A_Tale_of_Two_Cities_by_Charles_Dickens
34|More Letters of Charles Darwin — Volume 1 by Charles Darwin|54 by Charles Darwin|Fiction|2001-07-01|2739_More_Letters_of_Charles_Darwin_—_Volume_1_by_Charles_Darwin
35|The Brothers Karamazov by Fyodor Dostoyevsky|57 by Fyodor Dostoyevsky|Fiction|2009-02-12|28054_The_Brothers_Karamazov_by_Fyodor_Dostoyevsky
36|Adventures of Huckleberry Finn by Mark Twain|256 by Mark Twain|Fiction|2004-06-29|76_Adventures_of_Huckleberry_Finn_by_Mark_Twain
37|Thus Spake Zarathustra_ A Book for All and None by Friedrich Wilhelm Nietzsche|43 by Friedrich Wilhelm Nietzsche|Fiction|1999-12-01|1998_Thus_Spake_Zarathustra__A_Book_for_All_and_None_by_Friedrich_Wilhelm_Nietzsche
38|The divine comedy by Dante Alighieri|65 by Dante Alighieri|Fiction|2005-09-01|8800_The_divine_comedy_by_Dante_Alighieri
39|The Prince by Niccolò Machiavelli|9 by Niccolò Machiavelli|Fiction|2006-02-11|1232_The_Prince_by_Niccolò_Machiavelli
40|Moby Word Lists by Grady Ward|6 by Grady Ward|Fiction|2002-05-01|3201_Moby_Word_Lists_by_Grady_Ward
41|Leviathan by Thomas Hobbes|8 by Thomas Hobbes|Fiction|2002-05-01|3207_Leviathan_by_Thomas_Hobbes
42|A Doll's House _ a play by Henrik Ibsen|70 by Henrik Ibsen|Fiction|2001-03-01|2542_A_Doll's_House___a_play_by_Henrik_Ibsen
43|The Iliad by Homer|37 by Homer|Fiction|2004-07-01|6130_The_Iliad_by_Homer
44|The Importance of Being Earnest_ A Trivial Comedy for Serious People by Oscar Wilde|69 by Oscar Wilde|Fiction|1997-03-01|844_The_Importance_of_Being_Earnest__A_Trivial_Comedy_for_Serious_People_by_Oscar_Wilde
45|The Republic by Plato|71 by Plato|Fiction|1998-10-01|1497_The_Republic_by_Plato
46|Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm|26 by Jacob Grimm|Fiction|2001-04-01|2591_Grimms'_Fairy_Tales_by_Jacob_Grimm_and_Wilhelm_Grimm
47|Ulysses by James Joyce|8 by James Joyce|Fiction|2003-07-01|4300_Ulysses_by_James_Joyce
48|The Adventures of Sherlock Holmes by Arthur Conan Doyle|158 by Arthur Conan Doyle|Fiction|1999-03-01|1661_The_Adventures_of_Sherlock_Holmes_by_Arthur_Conan_Doyle
49|The Souls of Black Folk by W. E. B. Du Bois|15 by W. E. B. Du Bois|Fiction|1996-01-01|408_The_Souls_of_Black_Folk_by_W._E._B._Du_Bois
50|Second Treatise of Government by John Locke|4 by John Locke|Fiction|2005-01-01|7370_Second_Treatise_of_Government_by_John_Locke
51|Society in America, Volume 2 (of 2) by Harriet Martineau|29 by Harriet Martineau|Fiction|2016-07-31|52685_Society_in_America,_Volume_2_(of_2)_by_Harriet_Martineau
52|The Adventures of Tom Sawyer, Complete by Mark Twain|256 by Mark Twain|Fiction|2004-07-01|74_The_Adventures_of_Tom_Sawyer,_Complete_by_Mark_Twain
53|A Modest Proposal by Jonathan Swift|42 by Jonathan Swift|Fiction|1997-10-01|1080_A_Modest_Proposal_by_Jonathan_Swift
54|The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet|175 by Alexandre Dumas|Fiction|1998-01-01|1184_The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet
55|Narrative of the Life of Frederick Douglass, an American Slave by Douglass|9 by Frederick Douglass|Fiction|2006-01-12|23_Narrative_of_the_Life_of_Frederick_Douglass,_an_American_Slave_by_Douglass
56|Great Expectations by Charles Dickens|211 by Charles Dickens|Fiction|1998-07-01|1400_Great_Expectations_by_Charles_Dickens
57|The Wars of Religion in France 1559-1576 by James Westfall Thompson|Thompson, James Westfall, 1869-1941|Fiction|2015-06-23|49266_The_Wars_of_Religion_in_France_1559-1576_by_James_Westfall_Thompson
58|White Nights and Other Stories by Fyodor Dostoyevsky|57 by Fyodor Dostoyevsky|Fiction|2011-05-05|36034_White_Nights_and_Other_Stories_by_Fyodor_Dostoyevsky
59|War and Peace by graf Leo Tolstoy|100 by graf Leo Tolstoy|Fiction|2001-04-01|2600_War_and_Peace_by_graf_Leo_Tolstoy
60|Anne of Green Gables by L. M. Montgomery|33 by L. M. Montgomery|Fiction|2008-06-27|45_Anne_of_Green_Gables_by_L._M._Montgomery
61|Wuthering Heights by Emily Brontë|3 by Emily Brontë|Fiction|1996-12-01|768_Wuthering_Heights_by_Emily_Brontë
62|The Scarlet Letter by Nathaniel Hawthorne|110 by Nathaniel Hawthorne|Fiction|2008-05-05|25344_The_Scarlet_Letter_by_Nathaniel_Hawthorne
63|Doctrina Christiana by Edwin Wolf|Wolf, Edwin, 1911-1991|Fiction|2005-06-23|16119_Doctrina_Christiana_by_Edwin_Wolf
64|The Yellow Wallpaper by Charlotte Perkins Gilman|15 by Charlotte Perkins Gilman|Fiction|1999-11-01|1952_The_Yellow_Wallpaper_by_Charlotte_Perkins_Gilman
65|Raquel of the ranch country by Alida Malkus|3 by Alida Malkus|Fiction|2025-08-20|76708_Raquel_of_the_ranch_country_by_Alida_Malkus
66|Simple Sabotage Field Manual by United States. Office of Strategic Services|United States. Office of Strategic Services|Fiction|2008-08-04|26184_Simple_Sabotage_Field_Manual_by_United_States._Office_of_Strategic_Services
67|Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau|24 by Henry David Thoreau|Fiction|1995-01-01|205_Walden,_and_On_The_Duty_Of_Civil_Disobedience_by_Henry_David_Thoreau
68|The Odyssey by Homer|37 by Homer|Fiction|1999-04-01|1727_The_Odyssey_by_Homer
69|Du côté de chez Swann by Marcel Proust|23 by Marcel Proust|Fiction|2001-05-01|2650_Du_côté_de_chez_Swann_by_Marcel_Proust
70|The Critique of Pure Reason by Immanuel Kant|27 by Immanuel Kant|Fiction|2003-07-01|4280_The_Critique_of_Pure_Reason_by_Immanuel_Kant
71|Don Quijote by Miguel de Cervantes Saavedra|73 by Miguel de Cervantes Saavedra|Fiction|1999-12-01|2000_Don_Quijote_by_Miguel_de_Cervantes_Saavedra
72|Oliver Twist by Charles Dickens|211 by Charles Dickens|Fiction|1996-11-01|730_Oliver_Twist_by_Charles_Dickens
73|The Confessions of St. Augustine by Bishop of Hippo Saint Augustine|8 by Bishop of Hippo Saint Augustine|Fiction|2002-06-01|3296_The_Confessions_of_St._Augustine_by_Bishop_of_Hippo_Saint_Augustine
74|Tractatus Logico-Philosophicus by Ludwig Wittgenstein|Wittgenstein, Ludwig, 1889-1951|Fiction|2010-10-22|5740_Tractatus_Logico-Philosophicus_by_Ludwig_Wittgenstein
75|The wonders of science _ Or, young Humphry Davy (the Cornish apothecary's boy,…|9 by Henry Mayhew|Fiction|2025-08-19|76706_The_wonders_of_science____Or,_young_Humphry_Davy_(the_Cornish_apothecary's_boy,
76|The lesser Key of Solomon, Goetia, the book of evil spirits _ contains two…|De Laurence, L. W. (Lauron William), 1868-1936|Fiction|2024-01-11|72679_The_lesser_Key_of_Solomon,_Goetia,_the_book_of_evil_spirits____contains_two…
77|Calculus Made Easy by Silvanus P. Thompson|8 by Silvanus P. Thompson|Fiction|2010-07-28|33283_Calculus_Made_Easy_by_Silvanus_P._Thompson
78|Beyond Good and Evil by Friedrich Wilhelm Nietzsche|43 by Friedrich Wilhelm Nietzsche|Fiction|2003-08-01|4363_Beyond_Good_and_Evil_by_Friedrich_Wilhelm_Nietzsche
79|The war drama of the Eagles _ Napoleon's standard-bearers on the battlefield…|3 by Edward Fraser|Fiction|2025-02-05|75293_The_war_drama_of_the_Eagles___Napoleon's_standard-bearers_on_the__battlefield
80|Auguste Comte and Positivism by John Stuart Mill|19 by John Stuart Mill|Fiction|2005-10-09|16833_Auguste_Comte_and_Positivism_by_John_Stuart_Mill
81|The Wonderful Wizard of Oz by L. Frank Baum|115 by L. Frank Baum|Fiction|1993-02-01|55_The_Wonderful_Wizard_of_Oz_by_L._Frank_Baum
82|Moby Multiple Language Lists of Common Words by Grady Ward|6 y Grady Ward|Fiction|2002-05-01|3206_Moby_Multiple_Language_Lists_of_Common_Words_by_Grady_Ward
83|The History of the British Post Office by Joseph Clarence Hemmeon|Hemmeon, Joseph Clarence, 1880-|Fiction|2013-06-18|42983_The_History_of_the_British_Post_Office_by_Joseph_Clarence_Hemmeon
84|The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe|65 by Edgar Allan Poe|Fiction|2000-04-01|2148_The_Works_of_Edgar_Allan_Poe_—_Volume_2_by_Edgar_Allan_Poe
85|The Waterloo Roll Call by Charles Dalton|Dalton, Charles, 1850-1913|Fiction|2016-02-07|51143_The_Waterloo_Roll_Call_by_Charles_Dalton
86|The Kama Sutra of Vatsyayana by Vatsyayana|2 by Vatsyayana|Fiction|2009-01-18|27827_The_Kama_Sutra_of_Vatsyayana_by_Vatsyayana
87|Justice by John Galsworthy|70 by John Galsworthy|Fiction|2004-09-26|2911_Justice_by_John_Galsworthy
88|Peter Pan by J. M. Barrie|43 by J. M. Barrie|Fiction|2008-06-25|16_Peter_Pan_by_J._M._Barrie
89|Le Morte d'Arthur_ Volume 1 by Sir Thomas Malory|12 by Sir Thomas Malory|Fiction|1998-03-01|1251_Le_Morte_d'Arthur__Volume_1_by_Sir_Thomas_Malory
90|Les Misérables by Victor Hugo|72 by Victor Hugo|Fiction|2008-06-22|135_Les_Misérables_by_Victor_Hugo
91|Little Women by Louisa May Alcott|62 by Louisa May Alcott|Fiction|1996-05-01|514_Little_Women_by_Louisa_May_Alcott
92|The History of the Peloponnesian War by Thucydides|11 by Thucydides|Fiction|2004-12-01|7142_The_History_of_the_Peloponnesian_War_by_Thucydides
93|Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley|30 by Mary Wollstonecraft Shelley|Fiction|2012-11-23|41445_Frankenstein;_Or,_The_Modern_Prometheus_by_Mary_Wollstonecraft_Shelley
94|Anna Karenina by graf Leo Tolstoy|100 by graf Leo Tolstoy|Fiction|1998-07-01|1399_Anna_Karenina_by_graf_Leo_Tolstoy
95|Shakespeare's family by C. C. Stopes|3 by C. C. Stopes|Fiction|2008-08-14|26315_Shakespeare's_family_by_C._C._Stopes
96|The Legend of Sleepy Hollow by Washington Irving|42 by Washington Irving|Fiction|2008-06-27|41_The_Legend_of_Sleepy_Hollow_by_Washington_Irving
97|Ancient rhetoric and poetic _ Interpreted from representative works by Baldwin|3 by Charles Sears Baldwin|Fiction|2025-08-19|76707_Ancient_rhetoric_and_poetic____Interpreted_from_representative_works_by_Baldwin
98|Heath's Modern Language Series_ The Spanish American Reader by Ernesto Nelson|Nelson, Ernesto|Fiction|2012-05-07|39647_Heath's_Modern_Language_Series__The_Spanish_American_Reader_by_Ernesto_Nelson
99|Meditations by Emperor of Rome Marcus Aurelius|7 by Emperor of Rome Marcus Aurelius|Fiction|2001-06-01|2680_Meditations_by_Emperor_of_Rome_Marcus_Aurelius
100|The Romance of Lust_ A classic Victorian erotic novel by Anonymous|936 by Anonymous|Fiction|2009-10-14|30254_The_Romance_of_Lust_A_classic_Victorian_erotic_novel_by_Anonymous
101|Hi|Hi|Fantasy|2923-12-21|sample
